date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-021,Balani Show Super Hits,SS-021digi,Tassaba,1,0.000435530000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-021,Balani Show Super Hits,SS-021digi,Tassaba,2,0.000882990000000000,Anghami,,,Egypt,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,SIDA,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,Nee,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,Chefan Ni Bourou,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,Dalama Do,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,Ni Son Kadi,1,0.000403420000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,Ni Son Kadi,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,Kodo Kuma Sera,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,Paix Dron,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,Rapou Sabari,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SSC-013,Danbe,SSC-013digi,Werelen Werelen,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.100000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.280000000000000000,,,,CA,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.465000000000000000,,Hornsey,Haringey,GB,album,digital
2020-07-03,bandcamp,SSC-013,Danbe,SSC-013digi,,1,1.000000000000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.100000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SSC-013,Danbe,SSC-013digi,,1,1.000000000000000000,,Bristol,Bristol,GB,album,digital
2020-07-03,bandcamp,SSC-013,Danbe,SSC-013digi,,1,1.000000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SSC-013,Danbe,SSC-013digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.089000000000000000,,Nottingham,Nottingham,GB,album,digital
2020-07-03,bandcamp,SSC-013,Danbe,SSC-013digi,,1,1.000000000000000000,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.100000000000000000,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SSC-013,Danbe,SSC-013digi,,1,2.000000000000000000,,Winter Park,FL,US,album,digital
