date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2019-08-27,bandcamp,SS-055,Tiris,SS-055lp,,1,10.840000000000000000,,München,,DE,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055lathe,,1,17.890000000000000000,,München,,DE,album,physical
2019-08-27,shopify,SS-055,Tiris,SS-055lp,,1,11.320000000000000000,,Champaign,Illinois,United States,album,physical
2019-08-27,shopify,SS-055,Tiris,SS-055lp,,1,11.320000000000000000,,Sheffield,,United Kingdom,album,physical
2019-08-27,shopify,SS-055,Tiris,SS-055lp,,1,11.320000000000000000,,Coatesville,Pennsylvania,United States,album,physical
2019-08-27,shopify,SS-055,Tiris,SS-055lp,,1,11.320000000000000000,,Los Angeles,California,United States,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055lp,,1,12.720000000000000000,,Chicago,IL,US,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055lp,,1,11.580000000000000000,,New York,NY,US,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055cd,,5,48.310000000000000000,,SHIBUYA-KU,Tokyo,JP,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055cd,,1,6.650000000000000000,,Setagaya,Tokyo,JP,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055lp,,1,10.840000000000000000,,Almelo,Overijssel,NL,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055cd,,1,6.730000000000000000,,Chalfont St Peter,,GB,album,physical
2019-08-27,shopify,SS-055,Tiris,SS-055lp,,1,11.320000000000000000,,Upper Darby,Pennsylvania,United States,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055digi,,1,5.600000000000000000,,Costa Mesa,CA,US,album,digital
2019-08-27,shopify,SS-055,Tiris,SS-055lp,,1,11.320000000000000000,,Scotts Valley,California,United States,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055digi,,1,5.760000000000000000,,Sheffield,Sheffield,GB,album,digital
2019-08-27,bandcamp,SS-055,Tiris,SS-055digi,,1,5.900000000000000000,,Fayetteville,AR,US,album,digital
2019-08-27,bandcamp,SS-055,Tiris,SS-055digi,,1,5.750000000000000000,,Amsterdam,North Holland,NL,album,digital
2019-08-27,bandcamp,SS-055,Tiris,SS-055lp,,1,11.580000000000000000,,BROOKLYN,NY,US,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055digi,,1,5.900000000000000000,,Berwyn,IL,US,album,digital
2019-08-27,bandcamp,SS-055,Tiris,SS-055lp,,1,11.580000000000000000,,San Francisco,CA,US,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055lp,,1,11.100000000000000000,,Langley,BC,CA,album,physical
2019-08-27,bandcamp,SS-055,Tiris,SS-055lp,,1,11.520000000000000000,,Arlington,VA,US,album,physical
2019-08-28,bandcamp,SS-055,Tiris,SS-055lp,,1,12.600000000000000000,,Portland,OR,US,album,physical
2019-08-28,bandcamp,SS-055,Tiris,SS-055lp,,1,14.300000000000000000,,Kirkwall,,GB,album,physical
2019-08-28,bandcamp,SS-055,Tiris,SS-055lathe,,1,18.620000000000000000,,Kirkwall,,GB,album,physical
2019-08-28,bandcamp,,,,Long Live the Sahrawi Army,1,0.790000000000000000,,Perth,WA,AU,track,digital
2019-08-29,bandcamp,,,,Long Live the Sahrawi Army,1,0.790000000000000000,,Budapest,Budapest,HU,track,digital
2019-08-29,bandcamp,SS-055,Tiris,SS-055lathe,,1,17.760000000000000000,,Hjoerring,,DK,album,physical
2019-08-29,bandcamp,SS-055,Tiris,SS-055lathe,,1,17.890000000000000000,,Hjoerring,Danmark,DK,album,physical
2019-08-30,bandcamp,SS-055,Tiris,SS-055digi,,1,5.900000000000000000,,Denver,CO,US,album,digital
2019-08-30,bandcamp,SS-055,Tiris,SS-055lp,,1,12.390000000000000000,,Omaha,NE,US,album,physical
2019-08-30,bandcamp,SS-055,Tiris,SS-055lp,,1,11.520000000000000000,,Stanford,CA,US,album,physical
2019-08-31,bandcamp,SS-055,Tiris,SS-055digi,,1,5.900000000000000000,,Provincetown,MA,US,album,digital
2019-08-31,shopify,SS-055,Tiris,SS-055lp,,1,12.820000000000000000,,Swords,Dublin,Ireland,album,physical
2019-08-31,bandcamp,SS-055,Tiris,SS-055digi,,1,5.900000000000000000,,Philadelphia,PA,US,album,digital
