date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,7,0.0080000000,YouTube,,,United States,video,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,6,0.0560000000,YouTube,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,87,0.3120000000,Google Play,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,7,0.0240000000,Pandora (Premium),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,4,0.0320000000,YouTube,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0.0240000000,Tidal,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,336,1.2160000000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,14,0.0480000000,Pandora (Premium),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,35,0.0480000000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,9,0.1040000000,Amazon,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,124,0.1702000000,Pandora (Radio),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0E-10,Neurotic Media,,,United States,album,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,16,0.0240000000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,15,0.0080000000,YouTube,,,United States,video,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,126,0.0980000000,Pandora (Radio),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0.0160000000,Amazon,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,43,0.2080000000,Google Play,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,5,0.0480000000,Rhapsody,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,273,1.0320000000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,15,0.1600000000,Tidal,,,United States,track,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,2.0000000000,,Bellingham,WA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.0000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.1538000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,3.0000000000,,Totnes,Devon,GB,album,digital
