date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-021,Balani Show Super Hits,SS-021digi,Koumba Frifri,1,0.000435530000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-021,Balani Show Super Hits,SS-021digi,Koumba Frifri,2,0.000882990000000000,Anghami,,,Egypt,track,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.100000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.200000000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.100000000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.100000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.500000000000000000,,Ystrad Mynach,Caerphilly County Borough,GB,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.089000000000000000,,Nottingham,Nottingham,GB,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.100000000000000000,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.300000000000000000,,Winter Park,FL,US,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.200000000000000000,,Mount Vernon,NY,US,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.100000000000000000,,La Genete,Saône-et-Loire,FR,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.280000000000000000,,,,CA,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.465000000000000000,,Hornsey,Haringey,GB,album,digital
2020-07-03,bandcamp,SS-021,Balani Show Super Hits,SS-021digi,,1,0.100000000000000000,,Bowmanville,ON,CA,album,digital
