date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.945461000000000000,,Boise,ID,US,album,digital
2020-07-01,sds,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,Alghafiat,1,0.061572000000000000,SoundExchange,,,United States,track,digital
2020-07-01,sds,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,Alghafiat,3,0.001131020000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-031,Tumastin,SS-031digi,Tumastin,1,0.000377010000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-031,Tumastin,SS-031digi,At Oui Tass,1,0.000149260000000000,iTunes iCloud,,,Mexico,track,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.461600000000000000,,Adelaide,SA,AU,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.230800000000000000,,Farmington,MO,US,album,digital
2020-07-03,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.222200000000000000,,Southwark,Southwark,GB,album,digital
2020-07-03,bandcamp,SS-009,Alghafiat,SS-009digi,,1,1.000000000000000000,,Norfolk,VA,US,album,digital
2020-07-03,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.111100000000000000,,Bristol,Bristol,GB,album,digital
2020-07-03,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.333300000000000000,,Washington,DC,US,album,digital
2020-07-03,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.111100000000000000,,Glasgow,Glasgow City,GB,album,digital
2020-07-03,bandcamp,SS-009,Alghafiat,SS-009digi,,1,4.000000000000000000,,Goshen,IN,US,album,digital
2020-07-03,bandcamp,SS-009,Alghafiat,SS-009digi,,1,1.000000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-031,Tumastin,SS-031digi,,1,1.000000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.230800000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.111100000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-031,Tumastin,SS-031digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-009,Alghafiat,SS-009digi,,1,1.000000000000000000,,Diano d'Alba,Provincia di Cuneo,IT,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.311580000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.111100000000000000,,Tucson,AZ,US,album,digital
2020-07-03,bandcamp,SS-031,Tumastin,SS-031digi,,1,2.000000000000000000,,Bellingham,WA,US,album,digital
