date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0.000000000,Neurotic Media,,,United States,album,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,4,0.032000000,YouTube,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,7,0.024000000,Pandora (Premium),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,16,0.024000000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,15,0.008000000,YouTube,,,United States,video,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,126,0.098000000,Pandora (Radio),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0.016000000,Amazon,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,43,0.208000000,Google Play,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,5,0.048000000,Rhapsody,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,273,1.032000000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,15,0.160000000,Tidal,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,6,0.056000000,YouTube,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,7,0.008000000,YouTube,,,United States,video,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,87,0.312000000,Google Play,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,124,0.170200000,Pandora (Radio),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,9,0.104000000,Amazon,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,35,0.048000000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,14,0.048000000,Pandora (Premium),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,336,1.216000000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0.024000000,Tidal,,,United States,track,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,Marseille,Bouches-du-Rhône,FR,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Gdynia,Pomerania,PL,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000,,Gdynia,Pomerania,PL,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.127654000,,New York,NY,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,Malden,Gelderland,NL,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Lincoln,Lincolnshire,GB,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.136882000,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,3.000000000,,Totnes,Devon,GB,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,4.380000000,,Montreal,QC,CA,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.249900000,,Decatur,GA,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000,,La Genete,Saône-et-Loire,FR,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Great Neck,NY,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.307600000,,Bellingham,WA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,2.000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.166600000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.207630000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,Farmington,MO,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.307600000,,Adelaide,SA,AU,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,8.500000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.769000000,,Alameda,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,0.890000000,,Pontypridd,Rhondda Cynon Taf,GB,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Porto,Porto,PT,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000,,Wuppertal,North Rhine-Westphalia,DE,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.166600000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000,,Krakow,Lesser Poland,PL,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,0.900000000,,Hayward,CA,US,album,digital
