date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Gdynia,Pomerania,PL,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.307600000000000000,,Cambridge,Cambridgeshire,GB,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.166600000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.284530000000000000,,Hayward,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Krakow,Lesser Poland,PL,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.166600000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.307600000000000000,,Bellingham,WA,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.166600000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.207630000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,2.000000000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,0.890000000000000000,,Dubai,Dubai,AE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Farmington,MO,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.307600000000000000,,Adelaide,SA,AU,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,2.000000000000000000,,Turku,Southwest Finland,FI,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Tucson,AZ,US,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,2.000000000000000000,,,,JP,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Marseille,Bouches-du-Rhône,FR,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,New York,NY,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.769000000000000000,,Alameda,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.127654000000000000,,New York,NY,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Malden,Gelderland,NL,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Lincoln,Lincolnshire,GB,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.136882000000000000,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Tottenham,Haringey,GB,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.249900000000000000,,Decatur,GA,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,La Genete,Saône-et-Loire,FR,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,0.600000000000000000,,Los Angeles,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,2.650000000000000000,,Madison,WI,US,album,digital
2020-07-04,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,1.076600000000000000,,Blackburn,Blackburn with Darwen,GB,album,digital
2020-07-04,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.615200000000000000,,New York,NY,US,album,digital
2020-07-04,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,4.000000000000000000,,New York,NY,US,album,digital
2020-07-04,bandcamp,SS-004,Yiilo Jaam,SS-004digi,,1,1.000000000000000000,,Wells,ME,US,album,digital
