date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-01-01,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.050000000000000000,,Nesconset,NY,US,album,digital
2020-01-01,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.050000000000000000,,Perkasie,PA,US,album,digital
2020-01-01,bandcamp,SS-044,Eghass Malan,SS-044cd,,1,7.150000000000000000,,Hatfield,PA,US,album,physical
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Jori,1,0.000124280000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Tihilele,6,0.000745700000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Tihilele,1,0.000124280000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Tihilele,4,0.000497130000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Tihilele,6,0.008395010000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Tihilele,3,0.003364540000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Tihilele,7,0.000811510000000000,Tencent,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Inssegh Inssegh,1,0.000124280000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Inssegh Inssegh,7,0.000811510000000000,Tencent,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Inssegh Inssegh,1,0.048090000000000000,SoundExchange,,,United States,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Inssegh Inssegh,1,0.001399170000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Tihilele,1,0.010131390000000000,Apple Music,,,Italy,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Imigradan,1,0.000124280000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Imigradan,7,0.000869980000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Imigradan,6,0.000695580000000000,Tencent,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Telillite,4,0.000463720000000000,Tencent,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Telillite,1,0.000124280000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-044,Eghass Malan,SS-044digi,Telillite,1,0.000124280000000000,NetEase,,,China,track,digital
