date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,2.000000000000000000,,Orpington,Bromley,GB,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Gdynia,Pomerania,PL,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,2.000000000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,La Genete,Saône-et-Loire,FR,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,2.800000000000000000,,Saint Paul,MN,US,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,2.000000000000000000,,Bellingham,WA,US,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Chicago,IL,US,album,digital
2020-07-04,bandcamp,SS-047,Oyiwane,SS-047digi,,1,0.900000000000000000,,Rome,Rome,IT,album,digital
2020-07-04,bandcamp,SS-047,Oyiwane,SS-047digi,,1,0.900000000000000000,,Red Bluff,CA,US,album,digital
2020-07-04,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Blackburn,Blackburn with Darwen,GB,album,digital
2020-07-04,bandcamp,SS-047,Oyiwane,SS-047digi,,1,1.000000000000000000,,Anchorage,AK,US,album,digital
