date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Jordan,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Peru,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Switzerland,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Cameroon,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Sweden,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,2,0.000363200000000000,YouTube,,,El Salvador,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Thailand,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,2,0E-18,YouTube,,,Tunisia,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Armenia,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Hungary,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,2,0E-18,YouTube,,,Norway,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,6,0E-18,YouTube,,,Georgia,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,13,0.000444800000000000,YouTube,,,Spain,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,2,0E-18,YouTube,,,Ghana,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,18,0.000583200000000000,YouTube,,,Mexico,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,2,0E-18,YouTube,,,Israel,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,India,video,digital
2020-07-01,sds,SS-030,Unreleased Tapes 1981-1984,SS-030digi,Samari Da Yan Matan,1,0.000377010000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,25,0E-18,YouTube,,,Niger,video,digital
2020-07-01,sds,SS-030,Unreleased Tapes 1981-1984,SS-030digi,Samari Da Yan Matan,1,0.003130890000000000,Apple Music,,,Canada,track,digital
2020-07-01,sds,SS-030,Unreleased Tapes 1981-1984,SS-030digi,Samari Da Yan Matan,1,0.003706660000000000,Anghami,,,Kuwait,track,digital
2020-07-01,sds,SS-023,Taaritt,SS-023digi,Amiram,2,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-030,Unreleased Tapes 1981-1984,SS-030digi,Samari Da Yan Matan,6,0.020759380000000000,Anghami,,,Kuwait,track,digital
2020-07-01,sds,SS-030,Unreleased Tapes 1981-1984,SS-030digi,Arman Doley,2,0.000754010000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,2,0.001380000000000000,YouTube,,,Romania,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Bangladesh,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,2,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Croatia,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Turkey,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0E-18,YouTube,,,Saudi Arabia,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,5,0E-18,YouTube,,,Finland,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,6,0.000060800000000000,YouTube,,,Russia,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,5,0E-18,YouTube,,,Senegal,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,32,0.009632800000000000,YouTube,,,Germany,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,6,0.000043200000000000,YouTube,,,Colombia,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,2,0E-18,YouTube,,,New Zealand,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0.000161600000000000,YouTube,,,South Africa,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,2,0.000582400000000000,YouTube Red,,,Brazil,track,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0.001385600000000000,YouTube Red,,,Canada,track,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0.001428000000000000,YouTube Red,,,Australia,track,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,10,0.014933600000000000,YouTube Red,,,United States,track,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,10,0E-18,YouTube,,,Ivory Coast,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,3,0E-18,YouTube,,,Korea,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,12,0.000033600000000000,YouTube,,,Argentina,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,10,0.001049600000000000,YouTube,,,Canada,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,16,0E-18,YouTube,,,Czech Republic,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,3,0E-18,YouTube,,,Algeria,video,digital
2020-07-01,sds,SS-011,La Musique Electronique Du Niger,SS-011digi,Kobon Lerai,1,0.001542400000000000,YouTube Red,,,New Zealand,track,digital
