date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,1.000000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,0.890000000000000000,,Pontypridd,Rhondda Cynon Taf,GB,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.280000000000000000,,Stroudsburg,PA,US,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,1.000000000000000000,,Villa de Don Fadrique,Toledo,ES,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,2.000000000000000000,,Orpington,Bromley,GB,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.062500000000000000,,Malden,Gelderland,NL,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.175000000000000000,,Burbank,CA,US,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.062500000000000000,,Melbourne,VIC,AU,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,1.000000000000000000,,Lincoln,Lincolnshire,GB,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.062500000000000000,,Tottenham,Haringey,GB,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,1.000000000000000000,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.051875000000000000,,Porto,Porto,PT,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,1.000000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.280000000000000000,,Silver Spring,MD,US,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.156250000000000000,,Stuttgart,Baden-Württemberg,DE,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.062500000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,1.000000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,2.000000000000000000,,Wood Green,Haringey,GB,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,1.000000000000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-036,Waande Kadde,SS-036digi,,1,0.900000000000000000,,Hayward,CA,US,album,digital
