date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.000000000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Worcester,MA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Stroudsburg,PA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Trenton,NJ,US,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.000000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,4.300000000000000000,,Los Angeles,CA,US,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,4.400000000000000000,,San Antonio,TX,US,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.000000000000000000,,,,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.250000000000000000,,Altadena,CA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.187500000000000000,,Los Angeles,CA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Porto,Porto,PT,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Tottenham,Haringey,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.114375000000000000,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Malden,Gelderland,NL,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,7.550000000000000000,,New York,NY,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.187500000000000000,,Camden,Camden,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.056250000000000000,,Red Bluff,CA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.125000000000000000,,Limerick,Limerick,IE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.055625000000000000,,Bremen,Bremen,DE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Aschaffenburg,Bavaria,DE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.625000000000000000,,Oxford,Oxfordshire,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Farmington,MO,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.408125000000000000,,Nipawin,SK,CA,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.962500000000000000,,Broken Arrow,OK,US,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.000000000000000000,,Marseille,Bouches-du-Rhône,FR,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,2.000000000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,2.000000000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.140000000000000000,,Loviisa,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.000000000000000000,,Filey,North Yorkshire,GB,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.000000000000000000,,Nottingham,Nottingham,GB,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,4.650000000000000000,,Ashbourne,Derbyshire,GB,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.440000000000000000,,,,ES,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.048125000000000000,,Bordeaux,Gironde,FR,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,2.500000000000000000,,Jersey City,NJ,US,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,2.770000000000000000,,Krakow,Lesser Poland,PL,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Silver Spring,MD,US,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.830000000000000000,,Madrid,Madrid,ES,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.000000000000000000,,Norfolk,VA,US,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,1.000000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.156250000000000000,,Stuttgart,Baden-Württemberg,DE,album,digital
2020-07-03,bandcamp,SS-055,Tiris,SS-055digi,,1,0.890000000000000000,,Pontypridd,Rhondda Cynon Taf,GB,album,digital
