date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sdphysical,SS-038,Agrim Agadez,SS-038lp,,1,0.840000000000000000,All Day Records,,,US,album,physical
2020-07-01,sdphysical,SS-038,Agrim Agadez,SS-038lp,,1,0.840000000000000000,All Day Records,,,US,album,physical
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.100000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038lp,,1,1.973000000000000000,,Holland,MI,US,album,physical
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.089000000000000000,,Pontypridd,Rhondda Cynon Taf,GB,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.100000000000000000,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Adelaide,SA,AU,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.415000000000000000,,Widnes,Halton,GB,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.100000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.300000000000000000,,Wellington,Wellington,NZ,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.100000000000000000,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.089000000000000000,,Sao Teotonio,Beja,PT,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.100000000000000000,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.089000000000000000,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.090000000000000000,,Hayward,CA,US,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.200000000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.100000000000000000,,Wuppertal,North Rhine-Westphalia,DE,album,digital
