date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0E-18:.9f,Neurotic Media,,,United States,album,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,9,0.104000000000000000:.9f,Amazon,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,87,0.312000000000000000:.9f,Google Play,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,7,0.008000000000000000:.9f,YouTube,,,United States,video,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,6,0.056000000000000000:.9f,YouTube,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,15,0.160000000000000000:.9f,Tidal,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,273,1.032000000000000000:.9f,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,5,0.048000000000000000:.9f,Rhapsody,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,43,0.208000000000000000:.9f,Google Play,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0.016000000000000000:.9f,Amazon,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,126,0.098000000000000000:.9f,Pandora (Radio),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,15,0.008000000000000000:.9f,YouTube,,,United States,video,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,16,0.024000000000000000:.9f,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0.024000000000000000:.9f,Tidal,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,4,0.032000000000000000:.9f,YouTube,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,7,0.024000000000000000:.9f,Pandora (Premium),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,124,0.170200000000000000:.9f,Pandora (Radio),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,336,1.216000000000000000:.9f,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,14,0.048000000000000000:.9f,Pandora (Premium),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,35,0.048000000000000000:.9f,Spotify,,,United States,track,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,2.000000000000000000:.9f,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.307600000000000000:.9f,,Cambridge,Cambridgeshire,GB,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,2.000000000000000000:.9f,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.166600000000000000:.9f,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Oakland,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Filey,North Yorkshire,GB,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.284530000000000000:.9f,,Hayward,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,0.900000000000000000:.9f,,Hayward,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Krakow,Lesser Poland,PL,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.166600000000000000:.9f,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Wuppertal,North Rhine-Westphalia,DE,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Porto,Porto,PT,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,0.890000000000000000:.9f,,Pontypridd,Rhondda Cynon Taf,GB,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Marseille,Bouches-du-Rhône,FR,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.307600000000000000:.9f,,Bellingham,WA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,2.000000000000000000:.9f,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.166600000000000000:.9f,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.207630000000000000:.9f,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Farmington,MO,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.307600000000000000:.9f,,Adelaide,SA,AU,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Gdynia,Pomerania,PL,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Gdynia,Pomerania,PL,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,8.500000000000000000:.9f,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,3.000000000000000000:.9f,,Totnes,Devon,GB,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.769000000000000000:.9f,,Alameda,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.127654000000000000:.9f,,New York,NY,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Malden,Gelderland,NL,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Lincoln,Lincolnshire,GB,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.136882000000000000:.9f,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,4.380000000000000000:.9f,,Montreal,QC,CA,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.249900000000000000:.9f,,Decatur,GA,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,La Genete,Saône-et-Loire,FR,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Great Neck,NY,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Edinburgh,Edinburgh,GB,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,2.000000000000000000:.9f,,Bellingham,WA,US,album,digital
2020-07-04,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Anchorage,AK,US,album,digital
2020-07-04,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.136882000000000000:.9f,,Nocera Inferiore,Provincia di Salerno,IT,album,digital
2020-07-04,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,1.076600000000000000:.9f,,Blackburn,Blackburn with Darwen,GB,album,digital
2020-07-04,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Blackburn,Blackburn with Darwen,GB,album,digital
2020-07-04,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.000000000000000000:.9f,,Salt Lake City,UT,US,album,digital
2020-07-04,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,5.000000000000000000:.9f,,Scottsdale,AZ,US,album,digital
2020-07-04,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.153800000000000000:.9f,,Portland,OR,US,album,digital
2020-07-04,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Wells,ME,US,album,digital
2020-07-04,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.083300000000000000:.9f,,Portland,OR,US,album,digital
2020-07-04,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,9.390000000000000000:.9f,,Brooklyn,NY,US,album,digital
2020-07-04,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,4.000000000000000000:.9f,,New York,NY,US,album,digital
2020-07-04,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.333200000000000000:.9f,,New York,NY,US,album,digital
2020-07-04,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.615200000000000000:.9f,,New York,NY,US,album,digital
2020-07-07,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,7.200000000000000000:.9f,,Fairfax,VA,US,album,digital
2020-07-07,sddigital,SS-001,Ishilan N-Tenere,SS-001digi,Zinezju Meghdem,1,0.000302970000000000:.9f,Yandex,,,RU,track,digital
2020-07-08,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,1.013542000000000000:.9f,,Orpington,Bromley,GB,album,digital
2020-07-08,sddigital,SS-001,Ishilan N-Tenere,SS-001digi,Zinezju Meghdem,1,0.000052060000000000:.9f,Spotify,,,NZ,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Zinizjimogh Dim,1,0.004978090000000000:.9f,Spotify,,,JP,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Zinizjimogh Dim,4,0.010912500000000000:.9f,Spotify,,,CA,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Zinizjimogh Dim,1,0.002313230000000000:.9f,Spotify,,,AU,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Tarha Lamon Ines,43,0.167101820000000000:.9f,Spotify,,,US,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Tarha Lamon Ines,1,0.000787800000000000:.9f,Spotify,,,CO,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Tarha Lamon Ines,2,0.005456250000000000:.9f,Spotify,,,CA,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Tarha Lamon Ines,1,0.002313230000000000:.9f,Spotify,,,AU,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Majrad Iyan,22,0.099061760000000000:.9f,Spotify,,,US,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Majrad Iyan,3,0.006939700000000000:.9f,Spotify,,,AU,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Mategh Id Chat Megh,26,0.109228300000000000:.9f,Spotify,,,US,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Mategh Id Chat Megh,1,0.005862400000000000:.9f,Spotify,,,NZ,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Mategh Id Chat Megh,2,0.004787980000000000:.9f,Spotify,,,MA,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Mategh Id Chat Megh,1,0.004978090000000000:.9f,Spotify,,,JP,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Mategh Id Chat Megh,5,0.010114430000000000:.9f,Spotify,,,AU,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Inor In Tadalat,29,0.127253120000000000:.9f,Spotify,,,US,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Inor In Tadalat,2,0.007675420000000000:.9f,Spotify,,,KW,track,digital
2020-07-09,sddigital,SS-001,Ishilan N-Tenere,SS-001digi,Zinezju Meghdem,33,0.129975420000000000:.9f,Spotify,,,GB,track,digital
2020-07-09,sddigital,SS-001,Ishilan N-Tenere,SS-001digi,Chegarouna,39,0.142099100000000000:.9f,Spotify,,,GB,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Inor In Tadalat,2,0.004626470000000000:.9f,Spotify,,,AU,track,digital
2020-07-09,sddigital,SS-029,Abba Gargando,SS-029digi,Amidinin,24,0.104417000000000000:.9f,Spotify,,,US,track,digital
