date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Telilit,36,0E-18,YouTube,,,South Sudan,video,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Erilegh Ifanata,1,0.000496810000000000,iTunes iCloud,,,United Kingdom,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Erilegh Ifanata,1,0.000342990000000000,iTunes iCloud,,,Canada,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Inigradan,5,0.001885030000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Inigradan,1,0.000496810000000000,iTunes iCloud,,,United Kingdom,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Eliss Wan Anas Douban,1,0.000496810000000000,iTunes iCloud,,,United Kingdom,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Eliss Wan Anas Douban,1,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Eliss Wan Anas Douban,1,0.000342990000000000,iTunes iCloud,,,Canada,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Tende,1,0.000496810000000000,iTunes iCloud,,,United Kingdom,track,digital
2020-07-01,sds,SS-038,Agrim Agadez,SS-038digi,Migrid Noulhawan,1,0.000273720000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Telilit,3,0E-18,YouTube,,,Curaçao,video,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Telilit,1,0E-18,YouTube,,,Saint Martin,video,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Telilit,1,0.000496810000000000,iTunes iCloud,,,United Kingdom,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Telilit,1,0.000342990000000000,iTunes iCloud,,,Canada,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Telilit,1,0.000526700000000000,iTunes iCloud,,,Luxembourg,track,digital
2020-07-01,sdphysical,SS-038,Agrim Agadez,SS-038lp,,1,0.840000000000000000,All Day Records,,,US,album,physical
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Telilit,196,0.042775440000000000,iTunes iCloud,,,France,track,digital
2020-07-01,sdphysical,SS-038,Agrim Agadez,SS-038lp,,1,0.840000000000000000,All Day Records,,,US,album,physical
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Telilit,42,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Telilit,3,0E-18,YouTube,,,Sint Maarten,video,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Imigradan,1,0.000396320000000000,Anghami,,,Egypt,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Inssegh Inssegh,2,0.000754010000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Inssegh Inssegh,1,0.000396320000000000,Anghami,,,Egypt,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Eghass Malan,2,0.000436480000000000,iTunes iCloud,,,France,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Eghass Malan,200,0.075401060000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Eghass Malan,1,0.000549810000000000,iTunes iCloud,,,Belgium,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Tende,1,0.000342990000000000,iTunes iCloud,,,Canada,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Imigradan,1,0.180642000000000000,SoundExchange,,,United States,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Imigradan,2,0.000754010000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Telillite,1,0.000218240000000000,iTunes iCloud,,,France,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Inssegh Inssegh,1,0.010460150000000000,Apple Music,,,Italy,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Imigradan,1,0.000453390000000000,iTunes iCloud,,,Netherlands,track,digital
2020-07-01,sds,SS-044,Eghass Malan,SS-044digi,Imigradan,3,0.000654730000000000,iTunes iCloud,,,France,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Achibaba,1,0.000342990000000000,iTunes iCloud,,,Canada,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Achibaba,1,0.000496810000000000,iTunes iCloud,,,United Kingdom,track,digital
2020-07-01,sds,SS-033,Les Filles de Illighadad,SS-033digi,Achibaba,1,0.000377010000000000,iTunes iCloud,,,United States,track,digital
