date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Tirss,4,0.000497130000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Chima,2,0.000231860000000000,Tencent,,,China,track,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Chima,1,0.001692800000000000,YouTube,,,Morocco,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Chima,2,0.003462400000000000,YouTube,,,Spain,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Chima,2,0.002788800000000000,YouTube,,,France,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Chima,2,0.000248570000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,10,0.016779200000000000,YouTube,,,United Kingdom,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.007395200000000000,YouTube,,,Kuwait,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.007104000000000000,YouTube,,,Canada,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.002372800000000000,YouTube,,,Switzerland,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,313,0.284092800000000000,YouTube,,,Spain,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.003953600000000000,YouTube,,,Sweden,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,37,0.008251200000000000,YouTube,,,Morocco,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,4,0.002872000000000000,YouTube,,,Germany,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,2,0.001640000000000000,YouTube,,,Egypt,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,20,0.031879200000000000,YouTube,,,France,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,8,0.007513600000000000,YouTube,,,Algeria,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,El Jedida,5,0.000874430000000000,iTunes iCloud,,,United States,track,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.002597600000000000,YouTube,,,Denmark,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.001313600000000000,YouTube,,,Iraq,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,3,0.008192000000000000,YouTube,,,Saudi Arabia,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Erkiz,2,0.000231860000000000,Tencent,,,China,track,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Tirss,3,0.000347790000000000,Tencent,,,China,track,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Tirss,1,0.001399170000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Tirss,1,0.000124280000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Tirss,5,0.000621420000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,8,0.006603200000000000,YouTube,,,United Arab Emirates,video,digital
2020-01-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,12,0.096433600000000000,YouTube,,,United States,video,digital
2020-01-06,sddigital,SS-027,Nouakchott Wedding Songs,SS-027digi,Vagho Tahrar (I),1,0.001052670000000000,Spotify,,,DE,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,5,0.009910950000000000,Spotify,,,DE,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.001762340000000000,Spotify,,,CO,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,2,0.005325000000000000,Spotify,,,CH,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,3,0.007395380000000000,Spotify,,,CA,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,3,0.008411900000000000,Spotify,,,BE,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,1,0.000570070000000000,Spotify,,,AR,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Tirss,1,0.004530610000000000,Spotify,,,AU,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.001918270000000000,Spotify,,,CA,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,16,0.030904860000000000,Spotify,,,BE,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,4,0.018122450000000000,Spotify,,,AU,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Erkiz,1,0.004483570000000000,Spotify,,,DE,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,1,0.007219640000000000,TIDAL Music AS,,,GB,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.007219640000000000,TIDAL Music AS,,,GB,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Chima,1,0.009480200000000000,TIDAL Music AS,,,NO,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,3,0.013591840000000000,Spotify,,,AU,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Tirss,1,0.000569330000000000,Spotify,,,DZ,track,digital
2020-01-06,sddigital,SS-027,Nouakchott Wedding Songs,SS-027digi,Vagho Tahrar (I),1,0.011908930000000000,TIDAL Music AS,,,DK,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Tirss,3,0.007805610000000000,Spotify,,,DE,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Chima,1,0.010388520000000000,TIDAL Music AS,,,US,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,2,0.020777040000000000,TIDAL Music AS,,,US,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Tirss,1,0.010388520000000000,TIDAL Music AS,,,US,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Erkiz,2,0.020777040000000000,TIDAL Music AS,,,US,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,2,0.020777040000000000,TIDAL Music AS,,,US,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,Chima,3,0.006588910000000000,Spotify,,,DE,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,1,0.006437590000000000,Spotify,,,DK,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,7,0.025739880000000000,Spotify,,,DE,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,1,0.001762340000000000,Spotify,,,CO,track,digital
2020-01-06,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,1,0.002161240000000000,Spotify,,,CH,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,8,0.033264260000000000,Spotify,,,GB,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,3,0.013987880000000000,Spotify,,,FR,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,El Jedida,2,0.002291020000000000,Spotify,,,ES,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Tirss,2,0.009325250000000000,Spotify,,,FR,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Erkiz,2,0.009325250000000000,Spotify,,,FR,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,5,0.019469220000000000,Spotify,,,GB,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,5,0.016970140000000000,Spotify,,,FR,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,2,0.006494330000000000,Spotify,,,ES,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Tirss,1,0.005022420000000000,Spotify,,,IT,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Erkiz,1,0.005022420000000000,Spotify,,,IT,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.005022420000000000,Spotify,,,IT,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Chima,1,0.004662630000000000,Spotify,,,FR,track,digital
2020-01-07,sddigital,SS-039,Top W.Z.N.,SS-039digi,Chima,2,0.008870850000000000,Spotify,,,ES,track,digital
2020-01-08,sddigital,SS-039,Top W.Z.N.,SS-039digi,Erkiz,4,0.014232450000000000,Spotify,,,US,track,digital
2020-01-08,sddigital,SS-027,Nouakchott Wedding Songs,SS-027digi,Vagho Tahrar (I),5,0.016492790000000000,Spotify,,,US,track,digital
