date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-01-01,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.050000000000000000,,Nesconset,NY,US,album,digital
2020-01-01,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.050000000000000000,,Perkasie,PA,US,album,digital
2020-01-01,sds,SS-040,Fasokan,SS-040digi,L'Excision,1,0.000115930000000000,Tencent,,,China,track,digital
2020-01-01,sds,SSC-016,Mali Kady,SSC-016digi,Ne,2,0.000271150000000000,iTunes iCloud,,,Norway,track,digital
2020-01-01,sds,SSC-016,Mali Kady,SSC-016digi,Ne,1,0.001398400000000000,YouTube,,,Spain,video,digital
2020-01-01,sds,SSC-016,Mali Kady,SSC-016digi,Ne,1,0.002313600000000000,YouTube,,,France,video,digital
2020-01-01,sds,SSC-016,Mali Kady,SSC-016digi,Classi Ko,1,0.000124280000000000,NetEase,,,China,track,digital
2020-01-01,sds,SS-040,Fasokan,SS-040digi,Terriya,1,0.001530940000000000,Apple Music,,,Russia,track,digital
2020-01-01,sds,SSC-016,Mali Kady,SSC-016digi,Bondala,1,0.002313600000000000,YouTube,,,France,video,digital
2020-01-04,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.050000000000000000,,Stamford,CT,US,album,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,Foret,1,0.007142760000000000,TIDAL Music AS,,,IL,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,Foret,1,0.006300540000000000,TIDAL Music AS,,,NL,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,Foret,1,0.004045970000000000,TIDAL Music AS,,,PL,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,Foret,1,0.008278250000000000,TIDAL Music AS,,,FR,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,Foret,3,0.021191860000000000,TIDAL Music AS,,,US,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,A Tara,1,0.009578360000000000,TIDAL Music AS,,,HK,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,A Tara,1,0.007142760000000000,TIDAL Music AS,,,IL,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,A Tara,1,0.004045970000000000,TIDAL Music AS,,,PL,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,A Tara,2,0.016556510000000000,TIDAL Music AS,,,FR,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,A Tara,2,0.015790190000000000,TIDAL Music AS,,,US,track,digital
2020-01-06,sddigital,SS-052,Falaw,SS-052digi,Tolobana,8,0.049133140000000000,TIDAL Music AS,,,CA,track,digital
