date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,bandcamp,SS-060,Siftorde,SS-060digi,,1,6.590000000000000000,,,,IE,album,digital
2020-07-02,bandcamp,SS-060,Siftorde,SS-060digi,,1,6.630000000000000000,,Hamburg,Hamburg,DE,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,5.160000000000000000,,Honcho,Tokyo,JP,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,14.260000000000000000,,Sydney,NSW,AU,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,9.510000000000000000,,Randolph Township,NJ,US,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,9.510000000000000000,,Downers Grove,IL,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.625000000000000000,,Oxford,Oxfordshire,GB,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,11.930000000000000000,,Cheltenham,Gloucestershire,GB,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,6.530000000000000000,,Winnipeg,MB,CA,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,5.000000000000000000,,Queens,NY,US,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,6.750000000000000000,,New Haven,CT,US,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,5.000000000000000000,,Tel Aviv,Tel Aviv,IL,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,10.000000000000000000,,Vancouver,BC,CA,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,1.000000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,3.000000000000000000,,Aschaffenburg,Bavaria,DE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Worcester,MA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Silver Spring,MD,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.962500000000000000,,Broken Arrow,OK,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.408125000000000000,,Nipawin,SK,CA,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060lp,,1,15.170000000000000000,,Portland,OR,US,album,physical
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,4.000000000000000000,,Loviisa,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,0.890000000000000000,,Auckland,Auckland,NZ,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,1.000000000000000000,,Porto,Porto,PT,album,digital
2020-07-03,bandcamp,SS-060,Siftorde,SS-060digi,,1,4.200000000000000000,,Brooklyn,NY,US,album,digital
