date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2021-01-01,bandcamp,SS-012,"Music From Saharan Cellphones, Volume 2",SS-012digi,,1,0.661000000000000000,,Khmelnytskyy,Khmelnytskyy Oblast,UA,album,digital
2021-01-01,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.732149000000000000,,Utrecht,Provincie Utrecht,NL,album,digital
2021-01-02,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.150000000000000000,,Orlando,FL,US,album,digital
2021-01-02,bandcamp,SS-051,Ilana: The Creator,SS-051digi,,1,6.750000000000000000,,Dorchester,MA,US,album,digital
2021-01-02,bandcamp,SS-051,Ilana: The Creator,SS-051digi,,1,6.750000000000000000,,Chicago,IL,US,album,digital
2021-01-02,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.961015000000000000,,Lexington,MA,US,album,digital
2021-01-03,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.945461000000000000,,Orlando,FL,US,album,digital
2021-01-03,bandcamp,SS-051,Ilana: The Creator,SS-051lp,,1,10.620000000000000000,,MARRICKVILLE,NSW,AU,album,physical
2021-01-03,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.945461000000000000,,Somerville,MA,US,album,digital
2021-01-03,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.832139000000000000,,Hamburg,Hamburg,DE,album,digital
2021-01-04,bandcamp,SS-051,Ilana: The Creator,SS-051lp,,-1,-14.580000000000000000,,Olivebridge,NY,US,album,refund
2021-01-04,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.942128000000000000,,Manhattan,NY,US,album,digital
2021-01-04,bandcamp,SS-028,Akounak Tedalat Taha Tazoughai,SS-028digi,,1,6.670000000000000000,,Queenstown,Otago,NZ,album,digital
2021-01-05,bandcamp,SS-043,Sousoume Tamachek,SS-043digi,,1,7.200000000000000000,,Hornsey,Haringey,GB,album,digital
2021-01-05,bandcamp,SS-017,Afelan,SS-017digi,,1,5.780000000000000000,,Hornsey,Haringey,GB,album,digital
2021-01-05,bandcamp,SS-028,Akounak Tedalat Taha Tazoughai,SS-028digi,,1,7.200000000000000000,,Hornsey,Haringey,GB,album,digital
2021-01-05,bandcamp,SS-024,Anar,SS-024digi,,1,8.470000000000000000,,Metuchen,NJ,US,album,digital
2021-01-05,bandcamp,SS-024,Anar,SS-024digi,,1,7.200000000000000000,,Hornsey,Haringey,GB,album,digital
2021-01-05,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.745481000000000000,,Middletown,NJ,US,album,digital
2021-01-05,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.734371000000000000,,Helsinki,Uusimaa,FI,album,digital
2021-01-05,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.741037000000000000,,Hornsey,Haringey,GB,album,digital
2021-01-06,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.745481000000000000,,New Orleans,LA,US,album,digital
2021-01-06,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.844360000000000000,,Eugene,OR,US,album,digital
2021-01-06,bandcamp,SS-051,Ilana: The Creator,SS-051cd,,1,7.180000000000000000,,Linden,WI,US,album,physical
2021-01-06,bandcamp,SS-051,Ilana: The Creator,SS-051lp,,1,10.670000000000000000,,Tel Aviv-Yafo,Israel,IL,album,physical
2021-01-07,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.140625000000000000,,Watertown,NY,US,album,digital
2021-01-07,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.056250000000000000,,Watertown,NY,US,album,digital
2021-01-07,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.808808000000000000,,Victoria,BC,CA,album,digital
2021-01-07,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.749925000000000000,,Seattle,WA,US,album,digital
2021-01-07,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.932129000000000000,,,,AU,album,digital
2021-01-08,bandcamp,SS-051,Ilana: The Creator,SS-051cass,,1,3.200000000000000000,,Manor Kilbride,Wicklow,IE,album,physical
2021-01-08,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.741037000000000000,,Winnipeg,MB,CA,album,digital
2021-01-09,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.945461000000000000,,Grand Lake,CO,US,album,digital
2021-01-09,bandcamp,SS-017,Afelan,SS-017lp,,1,14.300000000000000000,,Charlottesville,VA,US,album,physical
2021-01-09,bandcamp,SS-051,Ilana: The Creator,SS-051cd,,1,10.990000000000000000,,Charlottesville,VA,US,album,physical
2021-01-10,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.745481000000000000,,Kennewick,WA,US,album,digital
2021-01-10,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.928796000000000000,,Dublin,Leinster,IE,album,digital
2021-01-10,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.745481000000000000,,Louisville,KY,US,album,digital
2021-01-10,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,-0.067500000000000000,,Brooklyn,NY,US,album,digital
2021-01-10,bandcamp,SS-012,"Music From Saharan Cellphones, Volume 2",SS-012digi,,1,0.851000000000000000,,Torrance,CA,US,album,digital
2021-01-10,bandcamp,SS-012,"Music From Saharan Cellphones, Volume 2",SS-012digi,,1,0.671000000000000000,,Louisville,KY,US,album,digital
2021-01-10,bandcamp,SS-051,Ilana: The Creator,SS-051digi,,1,6.620000000000000000,,Hamburg,Hamburg,DE,album,digital
2021-01-10,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.720000000000000000,,Brooklyn,NY,US,album,digital
2021-01-11,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.463125000000000000,,Kyiv,Kyiv City,UA,album,digital
2021-01-11,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.828806000000000000,,Ross on Wye,Herefordshire,GB,album,digital
2021-01-11,bandcamp,SS-051,Ilana: The Creator,SS-051digi,,1,8.410000000000000000,,Sherbrooke,QC,CA,album,digital
2021-01-11,bandcamp,SS-028,Akounak Tedalat Taha Tazoughai,SS-028digi,,1,6.670000000000000000,,Kyiv,Kyiv City,UA,album,digital
2021-01-11,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.749925000000000000,,Silver Spring,MD,US,album,digital
2021-01-12,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.050000000000000000,,Austin,TX,US,album,digital
2021-01-12,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.150000000000000000,,Austin,TX,US,album,digital
2021-01-12,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.168750000000000000,,Allentown,PA,US,album,digital
2021-01-12,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.056250000000000000,,Allentown,PA,US,album,digital
2021-01-12,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.101875000000000000,,Islington,Islington,GB,album,digital
2021-01-12,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.259375000000000000,,Gothenburg,Västra Götaland County,SE,album,digital
2021-01-13,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.148125000000000000,,Dulwich,Southwark,GB,album,digital
2021-01-13,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.749925000000000000,,Tulsa,OK,US,album,digital
2021-01-14,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.150000000000000000,,Saint Paul,MN,US,album,digital
2021-01-14,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.050000000000000000,,Saint Paul,MN,US,album,digital
2021-01-14,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.262500000000000000,,Pleasantville,NY,US,album,digital
2021-01-14,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.787500000000000000,,Pleasantville,NY,US,album,digital
2021-01-15,bandcamp,SS-017,Afelan,SS-017lp,,1,15.160000000000000000,,fairfield,CT,US,album,physical
2021-01-15,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.675000000000000000,,Brooklyn,NY,US,album,digital
2021-01-15,bandcamp,SS-043,Sousoume Tamachek,SS-043digi,,1,6.620000000000000000,,Recklinghausen,North Rhine-Westphalia,DE,album,digital
2021-01-15,bandcamp,SS-051,Ilana: The Creator,SS-051cass,,1,7.060000000000000000,,fairfield,CT,US,album,physical
2021-01-16,bandcamp,SS-017,Afelan,SS-017lp,,1,12.360000000000000000,,Littlefield,TX,US,album,physical
2021-01-16,bandcamp,SS-038,Agrim Agadez,SS-038digi,,1,0.667000000000000000,,Bangkok,Bangkok,TH,album,digital
2021-01-16,bandcamp,SS-051,Ilana: The Creator,SS-051digi,,1,6.750000000000000000,,Concord,NH,US,album,digital
2021-01-17,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.741037000000000000,,Ottawa,ON,CA,album,digital
2021-01-17,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.741037000000000000,,Bergen,Vestland,NO,album,digital
2021-01-18,bandcamp,SS-051,Ilana: The Creator,SS-051digi,,1,6.670000000000000000,,Calgary,AB,CA,album,digital
2021-01-18,bandcamp,SS-028,Akounak Tedalat Taha Tazoughai,SS-028digi,,1,6.620000000000000000,,Recklinghausen,North Rhine-Westphalia,DE,album,digital
2021-01-19,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.945461000000000000,,Kalamazoo,MI,US,album,digital
2021-01-19,bandcamp,SS-051,Ilana: The Creator,SS-051digi,,1,8.410000000000000000,,Abu Dhabi,Abu Dhabi,AE,album,digital
2021-01-19,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.928796000000000000,,Brighton,Brighton and Hove,GB,album,digital
2021-01-19,bandcamp,SS-003,"Music from Saharan Cellphones, Vol. 1",SS-003digi,,1,0.715484000000000000,,Rosanna,VIC,AU,album,digital
