date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,shopify,SS-053,Anou Malane,SS-053lp,,1,11.320000000000000000,,Los Angeles,California,United States,album,physical
2020-07-02,bandcamp,SS-053,Anou Malane,SS-053cass,,1,3.670000000000000000,,LOS ANGELES,CA,US,album,physical
2020-07-03,shopify,SS-053,Anou Malane,SS-053lp,,1,13.720000000000000000,,San Francisco,California,United States,album,physical
2020-07-03,bandcamp,SS-053,Anou Malane,SS-053digi,,1,2.000000000000000000,,Bellingham,WA,US,album,digital
2020-07-03,bandcamp,SS-053,Anou Malane,SS-053digi,,1,2.000000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-053,Anou Malane,SS-053digi,,1,2.650000000000000000,,Romford,Havering,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.250000000000000000,,Altadena,CA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Trenton,NJ,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Malden,Gelderland,NL,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.114375000000000000,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Tottenham,Haringey,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Porto,Porto,PT,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.187500000000000000,,Los Angeles,CA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.062500000000000000,,Farmington,MO,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.055625000000000000,,Bremen,Bremen,DE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.125000000000000000,,Limerick,Limerick,IE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.056250000000000000,,Red Bluff,CA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.187500000000000000,,Camden,Camden,GB,album,digital
2020-07-03,bandcamp,SS-053,Anou Malane,SS-053lp,,1,13.280000000000000000,,Parkville,MD,US,album,physical
2020-07-03,bandcamp,SS-053,Anou Malane,SS-053cass,,1,5.530000000000000000,,Seattle,WA,US,album,physical
