date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,bandcamp,SS-049,Houmeissa,SS-049digi,,1,6.670000000000000000,,Perth,WA,AU,album,digital
2020-07-01,sds,SS-025,Torodi,SS-025digi,Ataraghine,1,0E-18,YouTube,,,Curaçao,video,digital
2020-07-01,sds,SS-025,Torodi,SS-025digi,Ataraghine,1,0E-18,YouTube,,,Saint Barthelemy,video,digital
2020-07-01,sds,SS-025,Torodi,SS-025digi,Ataraghine,16,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-025,Torodi,SS-025digi,Tarhanam Remix,1,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-025,Torodi,SS-025digi,Khoumeissa,1,0E-18,YouTube,,,South Sudan,video,digital
2020-07-02,bandcamp,SS-049,Houmeissa,SS-049digi,,1,6.750000000000000000,,Jersey City,NJ,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.290625000000000000,,London,England,GB,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,1.830000000000000000,,Gdansk,Pomerania,PL,album,digital
2020-07-03,bandcamp,SS-025,Torodi,SS-025digi,,1,1.000000000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.111250000000000000,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-025,Torodi,SS-025digi,,1,0.900000000000000000,,Camberwell,VIC,AU,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049lp,,1,13.110000000000000000,,Portland,OR,US,album,physical
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049lp,,1,16.250000000000000000,,Shorewood,WI,US,album,physical
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,5.000000000000000000,,Hanoi,Hanoi,VN,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.625000000000000000,,Oxford,Oxfordshire,GB,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,5.590000000000000000,,Vienna,Vienna,AT,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,5.000000000000000000,,Winnipeg,MB,CA,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.625000000000000000,,Worcester,MA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.408125000000000000,,Nipawin,SK,CA,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.962500000000000000,,Broken Arrow,OK,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Silver Spring,MD,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Worcester,MA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Stroudsburg,PA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Aschaffenburg,Bavaria,DE,album,digital
2020-07-03,bandcamp,SS-025,Torodi,SS-025digi,,1,2.000000000000000000,,High Wycombe,Buckinghamshire,GB,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.111250000000000000,,Bremen,Bremen,DE,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,1.590000000000000000,,Limerick,Limerick,IE,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,2.220000000000000000,,St Louis,MO,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.250000000000000000,,Altadena,CA,US,album,digital
2020-07-03,bandcamp,SS-025,Torodi,SS-025digi,,1,2.000000000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-025,Torodi,SS-025digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.500000000000000000,,Camden,Camden,GB,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,1.850000000000000000,,Ridgecrest,CA,US,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,1.000000000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-025,Torodi,SS-025digi,,1,3.000000000000000000,,Wellington,Wellington,NZ,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.112500000000000000,,Red Bluff,CA,US,album,digital
2020-07-03,bandcamp,SS-025,Torodi,SS-025digi,,1,1.000000000000000000,,Porto,Porto,PT,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.048125000000000000,,Bordeaux,Gironde,FR,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,2.590000000000000000,,Ladenburg,Baden-Württemberg,DE,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,1.280000000000000000,,Winter Park,FL,US,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,0.890000000000000000,,Brentwood,Essex,GB,album,digital
2020-07-03,bandcamp,SS-049,Houmeissa,SS-049digi,,1,1.000000000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-025,Torodi,SS-025digi,,1,0.650000000000000000,,Farmington,MO,US,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.125000000000000000,,Farmington,MO,US,album,digital
