date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SSC-015,Yamedan,SSC-015digi,Izgharad,1,0.019200000000000000,SoundExchange,,,United States,track,digital
2020-07-01,sds,SSC-015,Yamedan,SSC-015digi,Yamedan,1,0.000525220000000000,Anghami,,,Egypt,track,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,1.000000000000000000,,Marseille,Bouches-du-Rhône,FR,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,1.000000000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,2.000000000000000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,4.410000000000000000,,Atlanta,GA,US,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,5.000000000000000000,,Aschaffenburg,Bavaria,DE,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,1.000000000000000000,,Bordeaux,Gironde,FR,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,1.000000000000000000,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,1.000000000000000000,,Albuquerque,NM,US,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,1.000000000000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,1.000000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SSC-015,Yamedan,SSC-015digi,,1,1.000000000000000000,,Lincoln,Lincolnshire,GB,album,digital
