date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,7,0.02400000,Pandora (Premium),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,4,0.03200000,YouTube,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0.02400000,Tidal,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,336,1.21600000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,16,0.02400000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,14,0.04800000,Pandora (Premium),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,35,0.04800000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,9,0.10400000,Amazon,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,15,0.00800000,YouTube,,,United States,video,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,126,0.09800000,Pandora (Radio),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0.01600000,Amazon,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,2,0E-8,Neurotic Media,,,United States,album,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,43,0.20800000,Google Play,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,5,0.04800000,Rhapsody,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,273,1.03200000,Spotify,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,124,0.17020000,Pandora (Radio),,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,15,0.16000000,Tidal,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,6,0.05600000,YouTube,,,United States,track,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,7,0.00800000,YouTube,,,United States,video,digital
2020-07-01,sds,SS-029,Abba Gargando,SS-029digi,Amidinin,87,0.31200000,Google Play,,,United States,track,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.00000000,,Great Neck,NY,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.08330000,,La Genete,Saône-et-Loire,FR,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.08330000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,4.38000000,,Montreal,QC,CA,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.13688200,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.00000000,,Lincoln,Lincolnshire,GB,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.15380000,,Malden,Gelderland,NL,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.12765400,,New York,NY,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.15380000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.08330000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,8.50000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.24990000,,Decatur,GA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.15380000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.00000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.30760000,,Adelaide,SA,AU,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.15380000,,Farmington,MO,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.20763000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.16660000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,2.00000000,,Berlin,Land Berlin,DE,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.30760000,,Bellingham,WA,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.08330000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.15380000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.00000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.08330000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.15380000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.00000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-008,Laila Je T'aime,SS-008digi,,1,0.08330000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.15380000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-029,Abba Gargando,SS-029digi,,1,1.00000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-001,Ishilan N-Tenere,SS-001digi,,1,0.15380000,,Edinburgh,Edinburgh,GB,album,digital
