date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-042,Tenere,SS-042digi,Nak Amahah,3,0.001306580000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,6,0.002420500000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,19,0.004081660000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,6,0.002458220000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,5,0.002139680000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,15,0.004105800000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,5,0.002236800000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,6,0.001606130000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,1,0.000402700000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,1,0.000377010000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,4,0.014796740000000000,Anghami,,,United Arab Emirates,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,2,0.001502050000000000,Anghami,,,Kuwait,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,1,0.000441970000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,78,0.046088640000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,2,0.001764830000000000,Anghami,,,Sudan,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,14,0.007491680000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,3,0.001655140000000000,Anghami,,,Sudan,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,1,0.000385440000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,24,0.012111580000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,1,0.000214820000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,47,0.019256090000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,1,0.000382750000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,9,0.003851420000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,13,0.048675020000000000,Anghami,,,United Arab Emirates,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,41,0.017856650000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,4,0.001799490000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,1,0.000589280000000000,Anghami,,,Sudan,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,4,0.001822340000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tarhanine Tegla,34,0.015210240000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Wiyad Hallen,1,0.000402700000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Wiyad Hallen,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Wiyad Hallen,1,0.000385440000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Wiyad Hallen,2,0.000855870000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Dounya Hi,1,0.000402700000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Dounya Hi,17,0.010044960000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Dounya Hi,2,0.001070240000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Dounya Hi,4,0.001711740000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Dounya Hi,7,0.002867930000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Dounya Hi,1,0.000435530000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Arhegh Danagh,1,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Arhegh Danagh,1,0.000535120000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Arhegh Danagh,2,0.000806830000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Arhegh Danagh,1,0.000427940000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Arhegh Danagh,2,0.000871060000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Arhegh Danagh,1,0.000447360000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Arhegh Danagh,1,0.000402700000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Amidinine,1,0.000402700000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Amidinine,1,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Amidinine,1,0.000439920000000000,iTunes iCloud,,,Austria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Amidinine,2,0.001074930000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Amidinine,4,0.001613660000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Amidinine,1,0.000385440000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Amidinine,1,0.000427940000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Amidinine,1,0.000267690000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Imarhanin,1,0.000402700000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Imarhanin,1,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Imarhanin,1,0.000377010000000000,iTunes iCloud,,,United States,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Imarhanin,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Imarhanin,1,0.000535120000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Imarhanin,1,0.000385440000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Imarhanin,1,0.000427940000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Imarhanin,3,0.001306580000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Imarhanin,2,0.000911170000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-035,Tarhanine Tegla,SS-035digi,Tarhanam Toussassi,1,0.000207980000000000,iTunes iCloud,,,Denmark,track,digital
2020-07-01,sds,SS-035,Tarhanine Tegla,SS-035digi,Tarhanine Tegla,2,0.000415960000000000,iTunes iCloud,,,Denmark,track,digital
2020-07-01,sds,SS-035,Tarhanine Tegla,SS-035digi,Tarhanine Tegla,2,0.006261770000000000,Apple Music,,,Canada,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Nak Amahah,7,0.002818870000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Nak Amahah,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Nak Amahah,10,0.005908800000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Nak Amahah,4,0.002140480000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Nak Amahah,6,0.002420500000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Nak Amahah,3,0.001283810000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,3,0.001762730000000000,Anghami,,,Tunisia,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,1,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,9,0.003444770000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,5,0.002675600000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,7,0.003093780000000000,Anghami,,,Libya,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,5,0.002954400000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Nak Amahah,2,0.000899740000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Tenere,2,0.000805390000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Houlaghine Akalin,1,0.000455580000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Houlaghine Akalin,1,0.000435530000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Houlaghine Akalin,8,0.003423490000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Houlaghine Akalin,2,0.000806830000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Houlaghine Akalin,5,0.002675600000000000,Anghami,,,Morocco,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Houlaghine Akalin,1,0.000537470000000000,iTunes iCloud,,,Germany,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Houlaghine Akalin,6,0.002416180000000000,Anghami,,,Algeria,track,digital
2020-07-01,sds,SS-042,Tenere,SS-042digi,Nak Amahah,3,0.001342080000000000,Anghami,,,Algeria,track,digital
2020-07-03,bandcamp,SS-035,Tarhanine Tegla,SS-035digi,,1,0.890000000000000000,,Pontypridd,Rhondda Cynon Taf,GB,album,digital
2020-07-03,bandcamp,SS-042,Tenere,SS-042digi,,1,14.260000000000000000,,Goldach,Saint Gallen,CH,album,digital
2020-07-03,bandcamp,SS-042,Tenere,SS-042digi,,1,1.000000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-042,Tenere,SS-042digi,,1,7.470000000000000000,,Kelowna,BC,CA,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.312500000000000000,,Worcester,MA,US,album,digital
2020-07-03,bandcamp,SS-042,Tenere,SS-042digi,,1,1.000000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-035,Tarhanine Tegla,SS-035digi,,1,1.000000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-042,Tenere,SS-042digi,,1,0.890000000000000000,,Sao Teotonio,Beja,PT,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.055625000000000000,,Stockholm,Stockholm County,SE,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.055625000000000000,,Bremen,Bremen,DE,album,digital
2020-07-03,bandcamp,SS-042,Tenere,SS-042digi,,1,3.470000000000000000,,Velbert,North Rhine-Westphalia,DE,album,digital
2020-07-03,bandcamp,SS-042,Tenere,SS-042digi,,1,1.000000000000000000,,Gdynia,Pomerania,PL,album,digital
2020-07-03,bandcamp,SS-042,Tenere,SS-042digi,,1,1.000000000000000000,,Marseille,Bouches-du-Rhône,FR,album,digital
2020-07-03,bandcamp,SS-042,Tenere,SS-042digi,,1,0.540000000000000000,,Berlin,Land Berlin,DE,album,digital
