date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-040,Fasokan,SS-040digi,Yelen,1,0.000441500000000000,Anghami,,,Egypt,track,digital
2020-07-01,sds,SS-040,Fasokan,SS-040digi,Yelen,1,0.000361980000000000,Anghami,,,Iraq,track,digital
2020-07-01,sds,SS-040,Fasokan,SS-040digi,Dambefoli,2,0E-18,YouTube,,,Unknown,video,digital
2020-07-03,bandcamp,SSC-016,Mali Kady,SSC-016digi,,1,1.000000000000000000,,Albuquerque,NM,US,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.062500000000000000,,Melbourne,VIC,AU,album,digital
2020-07-03,bandcamp,SS-040,Fasokan,SS-040digi,,1,2.000000000000000000,,Orpington,Bromley,GB,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Aschaffenburg,Bavaria,DE,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Stroudsburg,PA,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Worcester,MA,US,album,digital
2020-07-03,bandcamp,SSC-016,Mali Kady,SSC-016digi,,1,1.830000000000000000,,Vancouver,BC,CA,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.312500000000000000,,Silver Spring,MD,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.962500000000000000,,Broken Arrow,OK,US,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.408125000000000000,,Nipawin,SK,CA,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.175000000000000000,,Burbank,CA,US,album,digital
2020-07-03,bandcamp,SS-052,Falaw,SS-052digi,,1,1.000000000000000000,,Malden,Gelderland,NL,album,digital
2020-07-03,bandcamp,SS-052,Falaw,SS-052digi,,1,5.000000000000000000,,Riyadh,Riyadh Region,SA,album,digital
2020-07-03,bandcamp,SSC-016,Mali Kady,SSC-016digi,,1,7.470000000000000000,,Perth,WA,AU,album,digital
2020-07-03,bandcamp,SS-064,Sahel Sounds Label Sampler 2,SS-064digi,,1,0.625000000000000000,,Oxford,Oxfordshire,GB,album,digital
2020-07-03,bandcamp,SS-052,Falaw,SS-052digi,,1,5.650000000000000000,,Drayton,ON,CA,album,digital
2020-07-03,bandcamp,SS-058,Sahel Sounds Label Sampler,SS-058digi,,1,0.312500000000000000,,Worcester,MA,US,album,digital
2020-07-03,bandcamp,SS-052,Falaw,SS-052digi,,1,1.000000000000000000,,,,GB,album,digital
