date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0E-18,YouTube,,,Unknown,video,digital
2020-07-01,sds,SS-039,Top W.Z.N.,SS-039digi,Nehawd,1,0.000447360000000000,Anghami,,,Algeria,track,digital
2020-07-03,bandcamp,SS-027,Nouakchott Wedding Songs,SS-027digi,,1,0.181800000000000000,,Helsinki,Uusimaa,FI,album,digital
2020-07-03,bandcamp,SS-039,Top W.Z.N.,SS-039digi,,1,1.500000000000000000,,Wellington,Wellington,NZ,album,digital
2020-07-03,bandcamp,SS-039,Top W.Z.N.,SS-039digi,,1,0.500000000000000000,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-027,Nouakchott Wedding Songs,SS-027digi,,1,0.090900000000000000,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-039,Top W.Z.N.,SS-039digi,,1,0.500000000000000000,,Albuquerque,NM,US,album,digital
2020-07-03,bandcamp,SS-027,Nouakchott Wedding Songs,SS-027digi,,1,0.090900000000000000,,Albuquerque,NM,US,album,digital
2020-07-03,bandcamp,SS-039,Top W.Z.N.,SS-039digi,,1,0.500000000000000000,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-039,Top W.Z.N.,SS-039digi,,1,0.500000000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-027,Nouakchott Wedding Songs,SS-027digi,,1,0.090900000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-027,Nouakchott Wedding Songs,SS-027digi,,1,0.090900000000000000,,Norfolk,VA,US,album,digital
2020-07-03,bandcamp,SS-039,Top W.Z.N.,SS-039digi,,1,0.500000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-039,Top W.Z.N.,SS-039digi,,1,0.500000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-027,Nouakchott Wedding Songs,SS-027digi,,1,0.090900000000000000,,Minneapolis,MN,US,album,digital
