date,distributor,Catalog Number,Catalog Name,Version Number,Track Name,Quantity,Net,Customer,City,Region,Country,Type,Medium
2020-07-01,sds,SS-013,Orchestre National de Mauritanie,SS-013digi,Senam-Mosso,1,0.000694620000000000,Anghami,,,United Arab Emirates,track,digital
2020-07-01,sds,SS-013,Orchestre National de Mauritanie,SS-013digi,Chabab El-Bilad,1,0.043848000000000000,SoundExchange,,,United States,track,digital
2020-07-01,sds,SS-013,Orchestre National de Mauritanie,SS-013digi,Douga-Sosso,1,0.009576000000000000,SoundExchange,,,United States,track,digital
2020-07-01,sds,SS-013,Orchestre National de Mauritanie,SS-013digi,Kamlat,1,0.000694620000000000,Anghami,,,United Arab Emirates,track,digital
2020-07-01,sds,SS-013,Orchestre National de Mauritanie,SS-013digi,"Oumletna (La Mone"") """,1,0.000694620000000000,Anghami,,,United Arab Emirates,track,digital
2020-07-01,sds,SS-013,Orchestre National de Mauritanie,SS-013digi,Senam-Mosso,1,0.011736000000000000,SoundExchange,,,United States,track,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,Turku,Southwest Finland,FI,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,2.000000000000000000,,Bellingham,WA,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,2.000000000000000000,,Turku,Southwest Finland,FI,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Stanford,CA,US,album,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,,,JP,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,Chicago,IL,US,album,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,Mount Vernon,NY,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,0.900000000000000000,,Hayward,CA,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,0.900000000000000000,,Hayward,CA,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Chemnitz,Saxony,DE,album,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,Groningen,Groningen,NL,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Phoenix,AZ,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,San Pablo,CA,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Norfolk,VA,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Albuquerque,NM,US,album,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,0.830000000000000000,,Nottingham,Nottingham,GB,album,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,Lake Zurich,IL,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Minneapolis,MN,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Bowmanville,ON,CA,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,La Genete,Saône-et-Loire,FR,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,3.000000000000000000,,Memphis,TN,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,3.000000000000000000,,Villa de Don Fadrique,Toledo,ES,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,4.000000000000000000,,Altadena,CA,US,album,digital
2020-07-03,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,5.000000000000000000,,Winnipeg,MB,CA,album,digital
2020-07-03,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,Villa de Don Fadrique,Toledo,ES,album,digital
2020-07-04,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,0.900000000000000000,,Rome,Rome,IT,album,digital
2020-07-04,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Anchorage,AK,US,album,digital
2020-07-04,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,5.000000000000000000,,Arlington,VA,US,album,digital
2020-07-04,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,2.000000000000000000,,New York,NY,US,album,digital
2020-07-04,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Los Angeles,CA,US,album,digital
2020-07-04,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,4.000000000000000000,,Scottsdale,AZ,US,album,digital
2020-07-04,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,Salt Lake City,UT,US,album,digital
2020-07-04,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,1.000000000000000000,,Wells,ME,US,album,digital
2020-07-04,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,1.000000000000000000,,Anchorage,AK,US,album,digital
2020-07-04,bandcamp,SS-002,Kamlat / La Mone,SS-002digi,,1,2.500000000000000000,,Lethbridge,AB,CA,album,digital
2020-07-06,bandcamp,SS-013,Orchestre National de Mauritanie,SS-013digi,,1,6.620000000000000000,,Paris,Paris,FR,album,digital
2020-07-07,sddigital,SS-013,Orchestre National de Mauritanie,SS-013digi,Douga-Sosso,1,0.000119660000000000,Netease,,,CN,track,digital
2020-07-07,sddigital,SS-013,Orchestre National de Mauritanie,SS-013digi,Kamlat,1,0.000119660000000000,Netease,,,CN,track,digital
2020-07-07,sddigital,SS-013,Orchestre National de Mauritanie,SS-013digi,Senam-Mosso,1,0.001145620000000000,Netease,,,CN,track,digital
2020-07-07,sddigital,SS-013,Orchestre National de Mauritanie,SS-013digi,Senam-Mosso,1,0.000119660000000000,Netease,,,CN,track,digital
2020-07-08,sddigital,SS-013,Orchestre National de Mauritanie,SS-013digi,Kamlat,1,0.000052060000000000,Spotify,,,NZ,track,digital
